district,area,perch,bedrooms,bathrooms,kitchen_area_sqft,parking_spots,has_garden,has_ac,water_supply,electricity,floors,year_built,price_lkr
Polonnaruwa,Polonnaruwa Central,14,5,4,112,2,FALSE,FALSE,Pipe-borne,Single phase,1,2022,16236332
Matale,Matale Central,26,7,5,250,2,TRUE,FALSE,Both,Single phase,3,1987,33907509
Mullaitivu,Mullaitivu Central,7,3,2,77,2,TRUE,TRUE,Well,Single phase,1,1988,5954312
Anuradhapura,New Town,2,2,2,39,1,TRUE,TRUE,Both,Three phase,2,2024,5177534
Batticaloa,Batticaloa Town,20,5,4,117,1,TRUE,TRUE,Well,Single phase,1,1995,20182409
Mullaitivu,Mullaitivu Central,23,7,5,232,1,TRUE,FALSE,Well,Three phase,3,2021,23615818
Kalutara,Beruwala,19,7,5,247,2,TRUE,TRUE,Pipe-borne,Three phase,2,1997,38172705
Ratnapura,Kuruwita,3,2,1,35,2,FALSE,FALSE,Pipe-borne,Single phase,1,1990,4234524
Jaffna,Chunnakam,8,3,3,55,1,TRUE,TRUE,Both,Single phase,1,1990,10184076
Badulla,Badulla Town,7,3,2,89,0,FALSE,FALSE,Well,Single phase,1,2023,8733878
Vavuniya,Vavuniya Central,43,6,5,250,3,FALSE,FALSE,Pipe-borne,Single phase,3,2001,37541652
Mannar,Mannar Central,25,5,4,250,2,TRUE,TRUE,Both,Single phase,2,2016,32837599
Polonnaruwa,Polonnaruwa Central,22,7,5,250,3,FALSE,FALSE,Well,Single phase,3,1989,26636331
Vavuniya,Vavuniya Central,3,1,1,49,0,TRUE,FALSE,Both,Single phase,1,2004,3877762
Kilinochchi,Kilinochchi Central,4,1,1,36,0,FALSE,FALSE,Well,Three phase,1,2017,4464475
Hambantota,Hambantota Town,2,3,3,35,0,FALSE,FALSE,Both,Three phase,1,2017,3641135
Polonnaruwa,Polonnaruwa Central,3,2,2,38,3,TRUE,FALSE,Both,Three phase,1,1987,4961885
Hambantota,Hambantota Town,11,5,4,139,2,TRUE,TRUE,Both,Three phase,2,2010,16148863
Puttalam,Puttalam Central,10,5,5,129,1,TRUE,TRUE,Pipe-borne,Three phase,2,2007,12953402
Matale,Matale Central,11,4,3,67,1,FALSE,FALSE,Well,Single phase,1,1990,11191478
Polonnaruwa,Polonnaruwa Central,37,7,5,250,1,TRUE,TRUE,Pipe-borne,Single phase,2,2021,38660991
Vavuniya,Vavuniya Central,31,5,5,250,1,FALSE,FALSE,Both,Single phase,3,2023,35621391
Ratnapura,Ratnapura Town,3,2,1,35,1,TRUE,FALSE,Both,Three phase,1,2005,3367764
Kilinochchi,Kilinochchi Central,2,1,1,57,1,FALSE,TRUE,Well,Three phase,2,2008,3100467
Ratnapura,Pelmadulla,12,6,5,134,2,FALSE,TRUE,Both,Single phase,1,2013,13965760
Kandy,Kandy City,6,3,3,35,0,FALSE,TRUE,Both,Single phase,1,2013,9217194
Mannar,Mannar Central,10,4,3,99,0,FALSE,FALSE,Both,Single phase,2,2016,9803312
Kilinochchi,Kilinochchi Central,17,7,5,168,2,TRUE,FALSE,Pipe-borne,Three phase,2,1996,18607482
Gampaha,Ja-Ela,8,5,4,74,0,FALSE,FALSE,Well,Single phase,1,2023,12456054
Ampara,Ampara Central,10,3,3,101,0,TRUE,FALSE,Both,Single phase,2,1993,10655693
Badulla,Bandarawela,21,6,5,246,2,TRUE,FALSE,Well,Three phase,2,2023,29116082
Anuradhapura,Nuwaragam Palatha,25,4,4,250,1,TRUE,FALSE,Both,Single phase,3,2009,32001823
Jaffna,Jaffna Town,10,5,4,107,1,TRUE,TRUE,Both,Three phase,2,1987,13655226
Trincomalee,Nilaveli,9,4,3,39,1,FALSE,FALSE,Well,Single phase,1,2001,8504760
Colombo,Narahenpita,2,3,2,61,1,FALSE,TRUE,Well,Single phase,1,1989,7310084
Monaragala,Monaragala Central,12,4,4,153,0,TRUE,TRUE,Well,Three phase,2,1990,14849576
Trincomalee,Uppuveli,12,5,5,127,0,TRUE,TRUE,Pipe-borne,Single phase,1,1988,17118055
Matale,Matale Central,2,3,3,37,2,FALSE,FALSE,Pipe-borne,Three phase,2,2007,5019219
Kandy,Peradeniya,4,3,2,35,0,FALSE,TRUE,Pipe-borne,Three phase,1,2022,9262954
Batticaloa,Batticaloa Town,11,2,2,117,0,TRUE,FALSE,Both,Single phase,1,1986,12437702
Vavuniya,Vavuniya Central,9,3,2,74,0,TRUE,FALSE,Well,Single phase,1,1987,7996775
Galle,Unawatuna,2,3,2,36,1,FALSE,TRUE,Well,Three phase,2,2010,4343964
Matara,Matara Town,14,7,5,187,3,TRUE,TRUE,Both,Single phase,2,2006,26960611
Polonnaruwa,Polonnaruwa Central,31,6,5,247,2,FALSE,TRUE,Well,Single phase,2,1999,30619562
Ampara,Ampara Central,12,3,2,116,1,FALSE,FALSE,Pipe-borne,Single phase,1,2020,13232214
Vavuniya,Vavuniya Central,6,4,3,69,0,FALSE,FALSE,Pipe-borne,Three phase,1,2017,6213452
Mullaitivu,Mullaitivu Central,8,1,1,103,1,FALSE,FALSE,Pipe-borne,Single phase,2,2022,10441484
Puttalam,Puttalam Central,35,7,5,250,2,TRUE,FALSE,Well,Single phase,2,2022,33062592
Ampara,Ampara Central,50,4,3,250,1,FALSE,FALSE,Both,Single phase,2,1995,41428803
Kalutara,Panadura,8,3,3,69,2,FALSE,FALSE,Well,Three phase,1,2021,10243978
Puttalam,Puttalam Central,13,5,4,116,2,TRUE,FALSE,Well,Single phase,1,2022,15351277
Badulla,Hali Ela,2,3,2,39,0,TRUE,FALSE,Pipe-borne,Three phase,2,1999,2597156
Badulla,Hali Ela,14,7,5,159,1,FALSE,FALSE,Pipe-borne,Three phase,1,1994,18306431
Badulla,Hali Ela,8,2,1,80,1,TRUE,TRUE,Pipe-borne,Single phase,2,1989,10830571
Batticaloa,Batticaloa Town,3,1,1,35,1,TRUE,FALSE,Well,Single phase,2,1989,4211538
Galle,Karapitiya,12,4,3,130,2,FALSE,FALSE,Pipe-borne,Single phase,1,2024,21622710
Mannar,Mannar Central,5,3,3,52,1,TRUE,FALSE,Both,Three phase,1,2008,3512891
Polonnaruwa,Polonnaruwa Central,5,3,2,51,2,TRUE,TRUE,Both,Three phase,1,2016,7452919
Kandy,Katugastota,11,4,3,113,0,FALSE,TRUE,Well,Single phase,1,1986,14764993
Jaffna,Kokuvil,28,6,5,186,3,FALSE,FALSE,Well,Three phase,3,1991,28494539
Ampara,Ampara Central,5,1,1,35,1,TRUE,TRUE,Well,Single phase,1,1998,5355882
Mullaitivu,Mullaitivu Central,8,2,1,101,0,FALSE,FALSE,Pipe-borne,Single phase,2,2002,7757494
Hambantota,Hambantota Town,3,1,1,35,1,TRUE,FALSE,Both,Three phase,2,2006,4176291
Colombo,Nugegoda,12,5,4,148,1,TRUE,TRUE,Both,Single phase,1,1988,38932429
Gampaha,Ragama,21,7,5,250,1,TRUE,FALSE,Well,Three phase,2,2006,46740937
Gampaha,Ragama,12,6,5,92,0,TRUE,TRUE,Well,Three phase,1,1985,18227242
Badulla,Badulla Town,5,1,1,68,1,FALSE,FALSE,Pipe-borne,Three phase,1,2017,6156618
Ratnapura,Ratnapura Town,12,4,4,85,0,TRUE,FALSE,Well,Single phase,1,2024,12790026
Mullaitivu,Mullaitivu Central,14,6,5,143,2,FALSE,FALSE,Pipe-borne,Three phase,1,1996,13083696
Ratnapura,Ratnapura Town,17,7,5,220,1,FALSE,FALSE,Both,Single phase,3,2016,28512561
Gampaha,Wattala,12,3,2,148,2,FALSE,FALSE,Pipe-borne,Three phase,1,2002,21696642
Matara,Weligama,3,3,2,35,0,FALSE,FALSE,Well,Three phase,2,1988,4636037
Hambantota,Hambantota Town,18,6,5,122,3,FALSE,FALSE,Pipe-borne,Three phase,2,2000,17869627
Trincomalee,Nilaveli,6,4,4,45,0,TRUE,TRUE,Both,Three phase,1,2009,7503058
